'', DOI, BibTeX Citation, Plain Text Citation, Plain Text Citation Style
0,"https://doi.org/10.1007/bf00848674"," @article{Bouvet_1978, title={Cell proliferation and morphogenesis of the apical ectodermal ridge in the pectoral fin bud of the trout embryo (Salmo trutta fario L.)}, volume={185}, ISSN={1432-041X}, url={http://dx.doi.org/10.1007/bf00848674}, DOI={10.1007/bf00848674}, number={2}, journal={Wilhelm Roux’s Archives of Developmental Biology}, publisher={Springer Science and Business Media LLC}, author={Bouvet, Jean}, year={1978}, pages={137–154} } ","Bouvet, J., 1978. Cell proliferation and morphogenesis of the apical ectodermal ridge in the pectoral fin bud of the trout embryo (Salmo trutta fario L.). Wilhelm Roux’s Archives of Developmental Biology, 185: 137–154. Springer Science and Business Media LLC. ","ecoscience"
0,"https://doi.org/10.3138/jvme.31.4.323"," @article{Chenoweth_2004, title={Editorial: Food Animal Veterinary Futures}, volume={31}, ISSN={1943-7218}, url={http://dx.doi.org/10.3138/jvme.31.4.323}, DOI={10.3138/jvme.31.4.323}, number={4}, journal={Journal of Veterinary Medical Education}, publisher={University of Toronto Press Inc. (UTPress)}, author={Chenoweth, Peter J.}, year={2004}, month=dec, pages={323–328} } ","Chenoweth, P. J., 2004. Editorial: Food Animal Veterinary Futures. Journal of Veterinary Medical Education, 31: 323–328. University of Toronto Press Inc. (UTPress). ","ecoscience"
0,"https://doi.org/10.1002/2015gl067550"," @article{Zaba_2016, title={The 2014–2015 warming anomaly in the Southern California Current System observed by underwater gliders}, volume={43}, ISSN={1944-8007}, url={http://dx.doi.org/10.1002/2015gl067550}, DOI={10.1002/2015gl067550}, number={3}, journal={Geophysical Research Letters}, publisher={American Geophysical Union (AGU)}, author={Zaba, Katherine D. and Rudnick, Daniel L.}, year={2016}, month=feb, pages={1241–1248} } ","Zaba, Katherine D., and Daniel L. Rudnick. 2016. “The 2014–2015 Warming Anomaly in the Southern California Current System Observed by Underwater Gliders.” Geophysical Research Letters 43 (3): 1241–48. https://doi.org/10.1002/2015gl067550. ","chicago-author-date"
0,"https://doi.org/10.1007/978-1-4899-6643-8_16"," @article{Casey_1990, title={Example Reactions}, ISBN={9781489966438}, url={http://dx.doi.org/10.1007/978-1-4899-6643-8_16}, DOI={10.1007/978-1-4899-6643-8_16}, journal={Advanced Practical Organic Chemistry}, publisher={Springer US}, author={Casey, M. and Leonard, J. and Lygo, B. and Procter, G.}, year={1990}, pages={229–237} } ","Casey, M., J. Leonard, B. Lygo & G. Procter, 1990. Example Reactions. Advanced Practical Organic Chemistry: 229–237. Springer US. ","ecoscience"
0,"https://doi.org/10.3997/2214-4609-pdb.8.p057"," @article{Zouaghi_2003, title={Seismic Sequence Stratigraphy and Structuring of Upper Cretaceous Reservoir Deposits in Central Tunisia}, url={http://dx.doi.org/10.3997/2214-4609-pdb.8.p057}, DOI={10.3997/2214-4609-pdb.8.p057}, journal={1st EAGE North African/Mediterranean Petroleum &amp; Geosciences Conference &amp; Exhibition}, publisher={European Association of Geoscientists & Engineers}, author={Zouaghi, T. and Bedir, M. and Abdallah, H. and Inoubli, M.H.}, year={2003} } ","Zouaghi, T., Bedir, M., Abdallah, H., Inoubli, M.H., 2003. Seismic Sequence Stratigraphy and Structuring of Upper Cretaceous Reservoir Deposits in Central Tunisia. 1st EAGE North African/Mediterranean Petroleum &amp; Geosciences Conference &amp; Exhibition. https://doi.org/10.3997/2214-4609-pdb.8.p057 ","elsevier-harvard"
0,"https://doi.org/10.1299/jsmemag.101.956_511"," @article{YOSHINAGA_1998, title={Breakthrough in Science}, volume={101}, ISSN={2424-2675}, url={http://dx.doi.org/10.1299/jsmemag.101.956_511}, DOI={10.1299/jsmemag.101.956_511}, number={956}, journal={Journal of the Society of Mechanical Engineers}, publisher={Japan Society of Mechanical Engineers}, author={YOSHINAGA, Yoshimasa}, year={1998}, pages={511–513} } ","YOSHINAGA, Y., 1998. Breakthrough in Science. Journal of the Society of Mechanical Engineers, 101: 511–513. Japan Society of Mechanical Engineers. ","ecoscience"
0,"https://doi.org/10.1242/jeb.121.1.153"," @article{S_Esquivel_1986, title={Motion of Magnetotactic Microorganisms}, volume={121}, ISSN={1477-9145}, url={http://dx.doi.org/10.1242/jeb.121.1.153}, DOI={10.1242/jeb.121.1.153}, number={1}, journal={Journal of Experimental Biology}, publisher={The Company of Biologists}, author={S. Esquivel, Darci Motta and De Barros, Henrique G. P. Lins}, year={1986}, month=mar, pages={153–163} } ","S. Esquivel, Darci Motta, and Henrique G. P. Lins De Barros. 1986. “Motion of Magnetotactic Microorganisms.” Journal of Experimental Biology 121 (1): 153–63. https://doi.org/10.1242/jeb.121.1.153. ","chicago-author-date"
0,"https://doi.org/10.1038/scientificamerican05281887-9504asupp"," @article{1887, volume={23}, ISSN={0036-8733}, url={http://dx.doi.org/10.1038/scientificamerican05281887-9504asupp}, DOI={10.1038/scientificamerican05281887-9504asupp}, number={595supp}, journal={Scientific American}, publisher={Springer Science and Business Media LLC}, year={1887}, month=may, pages={9504–9504} } ","Automatic Commutator for Incandescent Lamps. (1887). Scientific American, 23(595supp), 9504–9504. https://doi.org/10.1038/scientificamerican05281887-9504asupp ","apa"
0,"https://doi.org/10.1021/cen-v074n004.p051"," @article{1996, volume={74}, ISSN={2157-4936}, url={http://dx.doi.org/10.1021/cen-v074n004.p051}, DOI={10.1021/cen-v074n004.p051}, number={4}, journal={Chemical &amp; Engineering News Archive}, publisher={American Chemical Society (ACS)}, year={1996}, month=jan, pages={51} } ","BUILD ON PQ EXPERIENCE, 1996. . Chemical &amp; Engineering News Archive 74, 51. https://doi.org/10.1021/cen-v074n004.p051 ","elsevier-harvard"
0,"https://doi.org/10.1111/j.1525-1497.2006.00358.x"," @article{Hagedorn_2006, title={Lessons Learned about Implementing Research Evidence into Clinical Practice.}, volume={21}, ISSN={1525-1497}, url={http://dx.doi.org/10.1111/j.1525-1497.2006.00358.x}, DOI={10.1111/j.1525-1497.2006.00358.x}, number={S2}, journal={Journal of General Internal Medicine}, publisher={Springer Science and Business Media LLC}, author={Hagedorn, Hildi and Hogan, Mary and Smith, Jeffrey L. and Bowman, Candice and Curran, Geoffrey M. and Espadas, Donna and Kimmel, Barbara and Kochevar, Laura and Legro, Marcia W. and Sales, Anne E.}, year={2006}, month=feb, pages={S21–S24} } ","Hagedorn, Hildi, et al. “Lessons Learned about Implementing Research Evidence into Clinical Practice.” Journal of General Internal Medicine, vol. 21, no. S2, Feb. 2006, pp. S21–24. Crossref, https://doi.org/10.1111/j.1525-1497.2006.00358.x. ","mla"
0,"https://doi.org/10.1016/s0304-3800(00)00411-7"," @article{Debeljak_2001, title={Habitat suitability modelling for red deer (Cervus elaphus L.) in South-central Slovenia with classification trees}, volume={138}, ISSN={0304-3800}, url={http://dx.doi.org/10.1016/s0304-3800(00)00411-7}, DOI={10.1016/s0304-3800(00)00411-7}, number={1–3}, journal={Ecological Modelling}, publisher={Elsevier BV}, author={Debeljak, Marko and Džeroski, Sašo and Jerina, Klemen and Kobler, Andrej and Adamič, Miha}, year={2001}, month=mar, pages={321–330} } ","Debeljak, Marko, Sašo Džeroski, Klemen Jerina, Andrej Kobler, and Miha Adamič. 2001. “Habitat Suitability Modelling for Red Deer (Cervus Elaphus L.) in South-Central Slovenia with Classification Trees.” Ecological Modelling 138 (1–3): 321–30. https://doi.org/10.1016/s0304-3800(00)00411-7. ","chicago-author-date"
0,"https://doi.org/10.2139/ssrn.1973671"," @article{Kreft_2011, title={In Which Sense Can We See Economics and Physics as Independent Sciences?}, ISSN={1556-5068}, url={http://dx.doi.org/10.2139/ssrn.1973671}, DOI={10.2139/ssrn.1973671}, journal={SSRN Electronic Journal}, publisher={Elsevier BV}, author={Kreft, Hans-Diedrich}, year={2011} } ","Kreft, Hans-Diedrich. 2011. “In Which Sense Can We See Economics and Physics as Independent Sciences?” SSRN Electronic Journal. https://doi.org/10.2139/ssrn.1973671. ","chicago-author-date"
0,"https://doi.org/10.1098/rspa.1946.0003"," @article{1946, volume={185}, ISSN={2053-9169}, url={http://dx.doi.org/10.1098/rspa.1946.0003}, DOI={10.1098/rspa.1946.0003}, number={1000}, journal={Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences}, publisher={The Royal Society}, year={1946}, month=jan, pages={35–49} } ","“The Transverse Flexure of Perforated Isotropic Plates.” 1946. Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences 185 (1000): 35–49. https://doi.org/10.1098/rspa.1946.0003. ","chicago-author-date"
0,"https://doi.org/10.1016/j.jallcom.2004.03.007"," @article{Aitasalo_2004, title={Low temperature thermoluminescence properties of Eu2+ and R3+ doped CaAl2O4}, volume={380}, ISSN={0925-8388}, url={http://dx.doi.org/10.1016/j.jallcom.2004.03.007}, DOI={10.1016/j.jallcom.2004.03.007}, number={1–2}, journal={Journal of Alloys and Compounds}, publisher={Elsevier BV}, author={Aitasalo, T. and Durygin, A. and Hölsä, J. and Lastusaari, M. and Niittykoski, J. and Suchocki, A.}, year={2004}, month=oct, pages={4–8} } ","Aitasalo, T., A. Durygin, J. Hölsä, M. Lastusaari, J. Niittykoski, and A. Suchocki. 2004. “Low Temperature Thermoluminescence Properties of Eu2+ and R3+ Doped CaAl2O4.” Journal of Alloys and Compounds 380 (1–2): 4–8. https://doi.org/10.1016/j.jallcom.2004.03.007. ","chicago-author-date"
0,"https://doi.org/10.1109/lmag.2023.3320495"," @article{Nitta_2023, title={Fabrication and Characterization CoZrO Films Deposited by Facing Targets Reactive Sputtering for Micromagnetic Inductors}, volume={14}, ISSN={1949-3088}, url={http://dx.doi.org/10.1109/lmag.2023.3320495}, DOI={10.1109/lmag.2023.3320495}, journal={IEEE Magnetics Letters}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Nitta, Honami and Takamura, Yota and Kaneko, Tadayuki and Nakagawa, Shigeki}, year={2023}, pages={1–5} } ","Nitta, Honami, Yota Takamura, Tadayuki Kaneko, and Shigeki Nakagawa. 2023. “Fabrication and Characterization CoZrO Films Deposited by Facing Targets Reactive Sputtering for Micromagnetic Inductors.” IEEE Magnetics Letters 14: 1–5. https://doi.org/10.1109/lmag.2023.3320495. ","chicago-author-date"
0,"https://doi.org/10.1007/10201284_18"," @article{Uber, title={Part 7}, ISBN={3540092234}, url={http://dx.doi.org/10.1007/10201284_18}, DOI={10.1007/10201284_18}, journal={Organic O-, P-, S-, Se-, Si-, Ge-, Sn-, Pb-, As-, Sb-Centered Radicals}, publisher={Springer-Verlag}, author={Uber, W. and Stegmann, H. B.}, pages={149–161} } ","Uber, W., & Stegmann, H. B. (n.d.). Part 7. Organic O-, P-, S-, Se-, Si-, Ge-, Sn-, Pb-, As-, Sb-Centered Radicals, 149–161. https://doi.org/10.1007/10201284_18 ","apa"
0,"https://doi.org/10.1182/blood.v112.11.2977.2977"," @article{Kaspers_2008, title={Long-Term Continuing Second Complete Remission (CCR2) despite Allogeneic Stem Cell Transplantation in CR1: Results from the International Randomised Phase III Study Pediatric Relapsed AML 2001/01}, volume={112}, ISSN={1528-0020}, url={http://dx.doi.org/10.1182/blood.v112.11.2977.2977}, DOI={10.1182/blood.v112.11.2977.2977}, number={11}, journal={Blood}, publisher={American Society of Hematology}, author={Kaspers, G.J.L. and Zimmermann, M. and Reinhardt, D. and Gibson, B. and Tamminga, R. and Armendariz, H. and Dworzak, M. and Ha, S. and Hovi, L. and Maschan, A. and Baruchel, A. and Bertrand, Y. and Razzouk, B. and Rizzari, C. and Smisek, P. and Smith, O. and Stark, B. and Creutzig, U.}, year={2008}, month=nov, pages={2977–2977} } ","Kaspers, G. J. L., et al. “Long-Term Continuing Second Complete Remission (CCR2) despite Allogeneic Stem Cell Transplantation in CR1: Results from the International Randomised Phase III Study Pediatric Relapsed AML 2001/01.” Blood, vol. 112, no. 11, Nov. 2008, pp. 2977–2977. Crossref, https://doi.org/10.1182/blood.v112.11.2977.2977. ","mla"
0,"https://doi.org/10.1163/9789004444515_007"," @article{Ouelbani_2020, title={Social and Emotional Learning in the New Tunisian Curriculum}, ISBN={9789004444515}, url={http://dx.doi.org/10.1163/9789004444515_007}, DOI={10.1163/9789004444515_007}, journal={Social and Emotional Learning in the Mediterranean}, publisher={BRILL}, author={Ouelbani, Amor}, year={2020}, month=sep, pages={70–80} } ","Ouelbani, A. (2020). Social and Emotional Learning in the New Tunisian Curriculum. Social and Emotional Learning in the Mediterranean, 70–80. https://doi.org/10.1163/9789004444515_007 ","apa"
0,"https://doi.org/10.5962/p.351186"," @article{Lauterer_1894, title={On Leprosy in the North of Europe and its Contagious Character.}, volume={10}, ISSN={0080-469X}, url={http://dx.doi.org/10.5962/p.351186}, DOI={10.5962/p.351186}, journal={The Proceedings of the Royal Society of Queensland}, publisher={Biodiversity Heritage Library}, author={Lauterer, Joseph}, year={1894}, pages={14–16} } ","Lauterer, J. (1894). On Leprosy in the North of Europe and its Contagious Character. The Proceedings of the Royal Society of Queensland, 10, 14–16. https://doi.org/10.5962/p.351186 ","apa"
0,"https://doi.org/10.1542/pir.2020-001834"," @article{Brockman_2021, title={Lumbar Skin Lesion in a Term Infant}, volume={42}, ISSN={1526-3347}, url={http://dx.doi.org/10.1542/pir.2020-001834}, DOI={10.1542/pir.2020-001834}, number={11}, journal={Pediatrics In Review}, publisher={American Academy of Pediatrics (AAP)}, author={Brockman, Shannon E. and Ottolini, Katherine M. and Schulz, Elizabeth V.}, year={2021}, month=nov, pages={624–627} } ","Brockman, S. E., Ottolini, K. M., & Schulz, E. V. (2021). Lumbar Skin Lesion in a Term Infant. Pediatrics In Review, 42(11), 624–627. https://doi.org/10.1542/pir.2020-001834 ","apa"
0,"https://doi.org/10.5840/wcp161983384"," @article{1983, url={http://dx.doi.org/10.5840/wcp161983384}, DOI={10.5840/wcp161983384}, journal={Der 16. Weltkongress für Philosophie}, publisher={Peter Lang}, year={1983}, pages={205–208} } ","“Scientific and Other Types of Rationality.” 1983. Der 16. Weltkongress Für Philosophie, 205–8. https://doi.org/10.5840/wcp161983384. ","chicago-author-date"
0,"https://doi.org/10.3410/f.1021856.248670"," @misc{Maiwald_2004, title={Faculty Opinions recommendation of First European exposure to syphilis: the Dominican Republic at the time of Columbian contact.}, url={http://dx.doi.org/10.3410/f.1021856.248670}, DOI={10.3410/f.1021856.248670}, journal={Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature}, publisher={Faculty Opinions Ltd}, author={Maiwald, Matthias}, year={2004}, month=oct } ","Maiwald, M., 2004, October 26. Faculty Opinions recommendation of First European exposure to syphilis: the Dominican Republic at the time of Columbian contact. Faculty Opinions Ltd. ","ecoscience"
0,"https://doi.org/10.22625/2072-6732-2018-10-2-48-54"," @article{Kozlova_2018, title={Pulmonary Aspergillosis in Patients with Cystic Fibrosis in Russian Federation}, volume={10}, ISSN={2072-6732}, url={http://dx.doi.org/10.22625/2072-6732-2018-10-2-48-54}, DOI={10.22625/2072-6732-2018-10-2-48-54}, number={2}, journal={Journal Infectology}, publisher={SPRIDA}, author={Kozlova, Ya. I. and Borzova, Yu. V. and Shadrivova, O. V. and Suslova, I. E. and Aak, O. V. and Ignat’eva, S. M. and Bogomolova, T. S. and Ponnaja, V. A. and Stepanenko, T. A. and Orlov, A. V. and Krasovskiy, S. A. and Klimko, N. N.}, year={2018}, month=jul, pages={48–54} } ","Kozlova, Ya. I., Borzova, Yu. V., Shadrivova, O. V., Suslova, I. E., Aak, O. V., Ignat’eva, S. M., Bogomolova, T. S., Ponnaja, V. A., Stepanenko, T. A., Orlov, A. V., Krasovskiy, S. A., & Klimko, N. N. (2018). Pulmonary Aspergillosis in Patients with Cystic Fibrosis in Russian Federation. Journal Infectology, 10(2), 48–54. https://doi.org/10.22625/2072-6732-2018-10-2-48-54 ","apa"
0,"https://doi.org/10.1016/s0021-9258(19)36684-0"," @article{Feng_1992, title={Glycosylation and membrane insertion of newly synthesized rat dopamine beta-hydroxylase in a cell-free system without signal cleavage.}, volume={267}, ISSN={0021-9258}, url={http://dx.doi.org/10.1016/s0021-9258(19)36684-0}, DOI={10.1016/s0021-9258(19)36684-0}, number={30}, journal={Journal of Biological Chemistry}, publisher={Elsevier BV}, author={Feng, Z and Angeletti, R.H. and Levin, B.E. and Sabban, E.L.}, year={1992}, month=oct, pages={21808–21815} } ","Feng, Z., et al. “Glycosylation and Membrane Insertion of Newly Synthesized Rat Dopamine Beta-Hydroxylase in a Cell-Free System without Signal Cleavage.” Journal of Biological Chemistry, vol. 267, no. 30, Oct. 1992, pp. 21808–15. Crossref, https://doi.org/10.1016/s0021-9258(19)36684-0. ","mla"
0,"https://doi.org/10.1159/000099506"," @article{Lipinski_1989, title={New Trends in Computer Graphics and Computer Vision to Assist Functional Neurosurgery}, volume={52}, ISSN={1011-6125}, url={http://dx.doi.org/10.1159/000099506}, DOI={10.1159/000099506}, number={2–4}, journal={Stereotactic and Functional Neurosurgery}, publisher={S. Karger AG}, author={Lipinski, H.G. and Struppler, A.}, year={1989}, pages={234–241} } ","Lipinski, H.G., Struppler, A., 1989. New Trends in Computer Graphics and Computer Vision to Assist Functional Neurosurgery. Stereotactic and Functional Neurosurgery 52, 234–241. https://doi.org/10.1159/000099506 ","elsevier-harvard"
0,"https://doi.org/10.1177/2051677015569713"," @article{Lawrence_2015, title={Mĕkōnôt, Models, and Mathematics: 1 Kings 7.27-37}, volume={66}, ISSN={2051-6789}, url={http://dx.doi.org/10.1177/2051677015569713}, DOI={10.1177/2051677015569713}, number={1}, journal={The Bible Translator}, publisher={SAGE Publications}, author={Lawrence, Paul J. N. and Schmidt, Peter}, year={2015}, month=mar, pages={61–72} } ","Lawrence, P. J. N., & Schmidt, P. (2015). Mĕkōnôt, Models, and Mathematics: 1 Kings 7.27-37. The Bible Translator, 66(1), 61–72. https://doi.org/10.1177/2051677015569713 ","apa"
0,"https://doi.org/10.1063/1.471865"," @article{Filippi_1996, title={Multiconfiguration wave functions for quantum Monte Carlo calculations of first-row diatomic molecules}, volume={105}, ISSN={1089-7690}, url={http://dx.doi.org/10.1063/1.471865}, DOI={10.1063/1.471865}, number={1}, journal={The Journal of Chemical Physics}, publisher={AIP Publishing}, author={Filippi, Claudia and Umrigar, C. J.}, year={1996}, month=jul, pages={213–226} } ","Filippi, Claudia, and C. J. Umrigar. 1996. “Multiconfiguration Wave Functions for Quantum Monte Carlo Calculations of First-Row Diatomic Molecules.” The Journal of Chemical Physics 105 (1): 213–26. https://doi.org/10.1063/1.471865. ","chicago-author-date"
0,"https://doi.org/10.1021/ja963153o"," @article{Beckwith_1996, title={The Mechanism of the β-(Acyloxy)alkyl Radical Rearrangement:  Substituent and Solvent Effects}, volume={118}, ISSN={1520-5126}, url={http://dx.doi.org/10.1021/ja963153o}, DOI={10.1021/ja963153o}, number={50}, journal={Journal of the American Chemical Society}, publisher={American Chemical Society (ACS)}, author={Beckwith, Athelstan L. J. and Duggan, Peter J.}, year={1996}, month=jan, pages={12838–12839} } ","Beckwith, A. L. J. & P. J. Duggan, 1996. The Mechanism of the β-(Acyloxy)alkyl Radical Rearrangement:  Substituent and Solvent Effects. Journal of the American Chemical Society, 118: 12838–12839. American Chemical Society (ACS). ","ecoscience"
0,"https://doi.org/10.1007/bf00057430"," @article{Riihimaa_1991, title={Evolution of the spectral fine structure of Jupiter’s decametric S-storms}, volume={53}, ISSN={1573-0794}, url={http://dx.doi.org/10.1007/bf00057430}, DOI={10.1007/bf00057430}, number={2}, journal={Earth, Moon, and Planets}, publisher={Springer Science and Business Media LLC}, author={Riihimaa, Jorma J.}, year={1991}, month=may, pages={157–182} } ","Riihimaa, J. J., 1991. Evolution of the spectral fine structure of Jupiter’s decametric S-storms. Earth, Moon, and Planets, 53: 157–182. Springer Science and Business Media LLC. ","ecoscience"
0,"https://doi.org/10.1163/002825988x00134"," @article{Jairajpuri_1988, title={Aggregation of Mononchoides longicaudatus and M. fortidens (Nematoda: Diplogasterida) at feeding sites}, volume={34}, ISSN={1875-2926}, url={http://dx.doi.org/10.1163/002825988x00134}, DOI={10.1163/002825988x00134}, number={1}, journal={Nematologica}, publisher={Brill}, author={Jairajpuri, M.S. and Bilgrami, A.L.}, year={1988}, pages={119–121} } ","Jairajpuri, M. S. & A. L. Bilgrami, 1988. Aggregation of Mononchoides longicaudatus and M. fortidens (Nematoda: Diplogasterida) at feeding sites. Nematologica, 34: 119–121. Brill. ","ecoscience"
0,"https://doi.org/10.1016/s0014-2565(00)70557-1"," @article{Iturbe_Hern_ndez_2000, title={El sistema antigénico eritrocitario ABO como posible factor predisponente para la aparición de patología trombótica venosa}, volume={200}, ISSN={0014-2565}, url={http://dx.doi.org/10.1016/s0014-2565(00)70557-1}, DOI={10.1016/s0014-2565(00)70557-1}, number={1}, journal={Revista Clínica Española}, publisher={Elsevier BV}, author={Iturbe Hernández, T. and Moreno Chulilla, J.A. and Cornudella Lacasa, R. and de Miguel Olmeda, R.}, year={2000}, month=jan, pages={49–50} } ","Iturbe Hernández, T., Moreno Chulilla, J. A., Cornudella Lacasa, R., & de Miguel Olmeda, R. (2000). El sistema antigénico eritrocitario ABO como posible factor predisponente para la aparición de patología trombótica venosa. Revista Clínica Española, 200(1), 49–50. https://doi.org/10.1016/s0014-2565(00)70557-1 ","apa"
